"","OrderTime","Description","Conid","TradeDate","Currency","Buy.Sell","Quantity","TradePrice","Proceeds","ClientId","Fx","SoumisSuisse","SoumisEtr","NonSoumis","cliNbr"
"1","20170113;085012","CAP GEMINI .","29612147",2017-01-13,"EUR","VTE",-244,80.2,19568.8,"U1427234",1.074,0,21017,0,2
"2","20170113;085012","CAP GEMINI .","29612147",2017-01-13,"EUR","ACH",-244,80.2,19568.8,"Interactive Brokers",1.074,0,0,21017,2
"3","20170113;085012","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-01-13,"CHF","VTE",-66,237.6,15681.6,"U1427234",1,15682,0,0,2
"4","20170113;085012","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-01-13,"CHF","ACH",-66,237.6,15681.6,"Interactive Brokers",1,0,0,15682,2
"5","20170113;085013","CARREFOUR SA","29612172",2017-01-13,"EUR","ACH",891,22.425,19980.69,"U1427234",1.074,0,21459,0,2
"6","20170113;085013","CARREFOUR SA","29612172",2017-01-13,"EUR","VTE",891,22.425,19980.69,"Interactive Brokers",1.074,0,0,21459,2
"7","20170113;085240","SHIRE PLC","51538961",2017-01-13,"GBP","ACH",376,46.465,17470.85,"U1427234",1.2293,0,21477,0,2
"8","20170113;085240","SHIRE PLC","51538961",2017-01-13,"GBP","VTE",376,46.465,17470.85,"Interactive Brokers",1.2293,0,0,21477,2
"9","20170113;085919","DBX MSCI WORLD FINANCIALSETF","227264014",2017-01-13,"EUR","ACH",744,15.482,11518.622,"U1427234",1.074,0,12371,0,2
"10","20170113;085919","DBX MSCI WORLD FINANCIALSETF","227264014",2017-01-13,"EUR","VTE",744,15.482,11518.622,"Interactive Brokers",1.074,0,0,12371,2
"11","20170113;094227","TECHNIP SA","1411464",2017-01-13,"EUR","ACH",415,66.68,27672.2,"U1427234",1.074,0,29720,0,2
"12","20170113;094227","TECHNIP SA","1411464",2017-01-13,"EUR","VTE",415,66.68,27672.2,"Interactive Brokers",1.074,0,0,29720,2
"13","20170228;030429","KONINKLIJKE AHOLD DELHAIZE N","240486295",2017-02-28,"EUR","VTE",-141,20.036,2825.076,"U1427234",1.0639,0,3006,0,2
"14","20170228;030429","KONINKLIJKE AHOLD DELHAIZE N","240486295",2017-02-28,"EUR","ACH",-141,20.036,2825.076,"Interactive Brokers",1.0639,0,0,3006,2
"15","20170228;030430","NESTLE SA-REG","52238348",2017-02-28,"CHF","ACH",171,74.35,12713.85,"U1427234",1,12714,0,0,2
"16","20170228;030430","NESTLE SA-REG","52238348",2017-02-28,"CHF","VTE",171,74.35,12713.85,"Interactive Brokers",1,0,0,12714,2
"17","20170228;030431","AIRBUS SE","29612256",2017-02-28,"EUR","VTE",-173,68.355,11825.452,"U1427234",1.0639,0,12581,0,2
"18","20170228;030431","AIRBUS SE","29612256",2017-02-28,"EUR","ACH",-173,68.355,11825.452,"Interactive Brokers",1.0639,0,0,12581,2
"19","20170228;030432","BNP PARIBAS","29612163",2017-02-28,"EUR","ACH",217,54.75,11880.75,"U1427234",1.0639,0,12640,0,2
"20","20170228;030432","BNP PARIBAS","29612163",2017-02-28,"EUR","VTE",217,54.75,11880.75,"Interactive Brokers",1.0639,0,0,12640,2
"21","20170228;030432","CARREFOUR SA","29612172",2017-02-28,"EUR","ACH",358,22.375,8010.25,"U1427234",1.0639,0,8522,0,2
"22","20170228;030432","CARREFOUR SA","29612172",2017-02-28,"EUR","VTE",358,22.375,8010.25,"Interactive Brokers",1.0639,0,0,8522,2
"23","20170228;030432","COMPAGNIE DE SAINT-GOBAIN","29612189",2017-02-28,"EUR","ACH",263,45.555,11980.965,"U1427234",1.0639,0,12747,0,2
